0 		 parameter nu_bar
0.1 		 parameter epsilon

101,1 		 np,nf (ODD Numb of pts per filament(<= NP if ic.dat), Num of filaments : this number must be coherent with the initial condition type set below) 
0.0019 	 ts (Timestep)

10000 		 number of time steps to take
1 		 time steps per plot
50 		 time steps per write to history file

8 		 number of periodic boxes (open filament) 
0 		 initial display mode of filament : 0 for curve, 1 for worm
1,2 		 simulation resolution, rotation resolution

3 		 verbose: Level of diagnostics
gamma_param[0],delta_bar[0],m_flux[0] =1, 1, 0
File written: Wed Sep 18 10:40:42 2002
Comments: 3D 





Ascii values of ux, uy and uz follow
0.0125537 0.68257 -0.641761
0.0167047 0.732748 -0.606772
0.021042 0.782845 -0.569219
0.0252958 0.832286 -0.52858
0.0292468 0.880283 -0.484352
0.0327671 0.925875 -0.436137
0.0358271 0.968008 -0.383735
0.0384581 1.00564 -0.327204
0.040691 1.03783 -0.266859
0.0425139 1.06376 -0.203229
0.0438756 1.08279 -0.136996
0.0447185 1.09441 -0.0689594
0.0441078 1.09839 1.31882e-17
0.0438278 1.09448 0.0689594
Ascii values of ux, uy and uz follow
0.0883482 1.09034 -0.0689542
0.0896552 1.09424 2.59428e-17
0.0892584 1.09024 0.0689536
0.0879864 1.07835 0.136937
0.0856393 1.05892 0.203027
0.0820119 1.03255 0.266403
0.0770109 1.00007 0.326421
0.0707182 0.962476 0.382688
0.0633811 0.920863 0.435081
0.0553589 0.876295 0.483712
0.0470664 0.829711 0.528841
0.0389283 0.781881 0.570794
0.0313378 0.733395 0.609913
0.0246197 0.684676 0.646527
0.0190113 0.635982 0.68095
0.0146639 0.587418 0.713473
0.0116596 0.538942 0.74438
0.0100352 0.490387 0.773935
0.00980281 0.441486 0.802382
0.0109639 0.391914 0.829923
0.0135107 0.341324 0.856693
0.0174168 0.289389 0.882738
0.0226178 0.235827 0.907995
0.0289879 0.180414 0.932273
0.0363195 0.12299 0.95524
0.0443161 0.0634551 0.976416
0.0526036 0.00178375 0.995169
0.0607633 -0.0619603 1.01072
0.0683725 -0.127585 1.02215
0.0750476 -0.194724 1.02848
0.0804973 -0.262798 1.02879
0.0845803 -0.33102 1.02232
0.0873348 -0.398453 1.00858
0.08894 -0.464094 0.987373
0.0896118 -0.526949 0.958768
0.0894806 -0.586091 0.923081
0.0885186 -0.640695 0.880831
0.0865551 -0.690078 0.832727
0.0833724 -0.73375 0.779646
0.0788293 -0.771472 0.722592
0.0729469 -0.803301 0.662634
0.0659223 -0.829594 0.60081
0.0580841 -0.850928 0.538038
0.0498341 -0.867989 0.475064
0.0415985 -0.88146 0.41245
0.0337853 -0.891962 0.350589
0.0267456 -0.900024 0.289726
0.0207465 -0.906078 0.229972
0.0159667 -0.91046 0.171313
0.0125088 -0.91342 0.113609
0.0104222 -0.91513 0.0566156
0.00972535 -0.915689 -2.86805e-16
0.0104222 -0.91513 -0.0566156
0.0125088 -0.91342 -0.113609
0.0159667 -0.91046 -0.171313
0.0207465 -0.906078 -0.229972
0.0267456 -0.900024 -0.289726
0.0337853 -0.891962 -0.350589
0.0415985 -0.88146 -0.41245
0.0498341 -0.867989 -0.475064
0.0580841 -0.850928 -0.538038
0.0659223 -0.829594 -0.60081
0.0729469 -0.803301 -0.662634
0.0788293 -0.771472 -0.722592
0.0833724 -0.73375 -0.779646
0.0865551 -0.690078 -0.832727
0.0885186 -0.640695 -0.880831
0.0894806 -0.586091 -0.923081
0.0896118 -0.526949 -0.958768
0.08894 -0.464094 -0.987373
0.0873348 -0.398453 -1.00858
0.0845803 -0.33102 -1.02232
0.0804973 -0.262798 -1.02879
0.0750476 -0.194724 -1.02848
0.0683725 -0.127585 -1.02215
0.0607633 -0.0619603 -1.01072
0.0526036 0.00178375 -0.995169
0.0443161 0.0634551 -0.976416
0.0363195 0.12299 -0.95524
0.0289879 0.180414 -0.932273
0.0226178 0.235827 -0.907995
0.0174168 0.289389 -0.882738
0.0135107 0.341324 -0.856693
0.0109639 0.391914 -0.829923
0.00980281 0.441486 -0.802382
0.0100352 0.490387 -0.773935
0.0116596 0.538942 -0.74438
0.0146639 0.587418 -0.713473
0.0190113 0.635982 -0.68095
0.0246197 0.684676 -0.646527
0.0313378 0.733395 -0.609913
0.0389283 0.781881 -0.570794
0.0470664 0.829711 -0.528841
0.0553589 0.876295 -0.483712
0.0633811 0.920863 -0.435081
0.0707182 0.962476 -0.382688
0.0770109 1.00007 -0.326421
0.0820119 1.03255 -0.266403
0.0856393 1.05892 -0.203027
0.0879864 1.07835 -0.136937
0.0892584 1.09024 -0.0689536
0.0887391 1.09433 2.59526e-17
0.0883482 1.09034 0.0689542
Ascii values of ux, uy and uz follow
0.135372 1.08187 -0.0689328
0.137496 1.08581 1.17787e-16
0.136317 1.08161 0.0689328
0.132847 1.06924 0.136755
0.127272 1.04938 0.202519
0.119864 1.02296 0.265543
0.110943 0.991075 0.325429
0.100855 0.954797 0.382007
0.0899774 0.915082 0.435251
0.0787238 0.872735 0.485208
0.0675434 0.828416 0.531966
0.0568937 0.782668 0.575644
0.0471968 0.73595 0.616413
0.0387948 0.688632 0.654488
0.0319207 0.640984 0.690123
0.0266936 0.59315 0.723586
0.0231418 0.545133 0.755144
0.0212444 0.496807 0.785057
0.0209745 0.447937 0.813556
0.0223271 0.398223 0.84083
0.025324 0.347342 0.866994
0.0299924 0.294993 0.892068
0.0363255 0.240926 0.915953
0.0442383 0.184955 0.938431
0.0535367 0.126971 0.959174
0.0639125 0.0669442 0.977769
0.074966 0.00492782 0.993754
0.0862464 -0.0589389 1.00661
0.0972974 -0.124431 1.01577
0.107692 -0.191226 1.02053
0.117042 -0.258874 1.02011
0.124992 -0.326757 1.01367
0.131211 -0.394056 1.00041
0.135408 -0.459757 0.979752
0.137365 -0.522722 0.951449
0.136971 -0.581828 0.915704
0.134249 -0.636136 0.873151
0.129349 -0.68503 0.824759
0.122518 -0.728275 0.771671
0.114064 -0.765977 0.715052
0.104325 -0.798474 0.655961
0.0936664 -0.826212 0.595298
0.0824896 -0.849643 0.533793
0.0712335 -0.869186 0.472017
0.0603573 -0.885225 0.41042
0.0503001 -0.898132 0.349342
0.0414348 -0.908284 0.289033
0.0340327 -0.916043 0.229635
0.0282497 -0.921734 0.171178
0.0241404 -0.925615 0.113572
0.021695 -0.927871 0.0566121
0.0208845 -0.928611 -2.93205e-16
0.021695 -0.927871 -0.0566121
0.0241404 -0.925615 -0.113572
0.0282497 -0.921734 -0.171178
0.0340327 -0.916043 -0.229635
0.0414348 -0.908284 -0.289033
0.0503001 -0.898132 -0.349342
0.0603573 -0.885225 -0.41042
0.0712335 -0.869186 -0.472017
0.0824896 -0.849643 -0.533793
0.0936664 -0.826212 -0.595298
0.104325 -0.798474 -0.655961
0.114064 -0.765977 -0.715052
0.122518 -0.728275 -0.771671
0.129349 -0.68503 -0.824759
0.134249 -0.636136 -0.873151
0.136971 -0.581828 -0.915704
0.137365 -0.522722 -0.951449
0.135408 -0.459757 -0.979752
0.131211 -0.394056 -1.00041
0.124992 -0.326757 -1.01367
0.117042 -0.258874 -1.02011
0.107692 -0.191226 -1.02053
0.0972974 -0.124431 -1.01577
0.0862464 -0.0589389 -1.00661
0.074966 0.00492782 -0.993754
0.0639125 0.0669442 -0.977769
0.0535367 0.126971 -0.959174
0.0442383 0.184955 -0.938431
0.0363255 0.240926 -0.915953
0.0299924 0.294993 -0.892068
0.025324 0.347342 -0.866994
0.0223271 0.398223 -0.84083
0.0209745 0.447937 -0.813556
0.0212444 0.496807 -0.785057
0.0231418 0.545133 -0.755144
0.0266936 0.59315 -0.723586
0.0319207 0.640984 -0.690123
0.0387948 0.688632 -0.654488
0.0471968 0.73595 -0.616413
0.0568937 0.782668 -0.575644
0.0675434 0.828416 -0.531966
0.0787238 0.872735 -0.485208
0.0899774 0.915082 -0.435251
0.100855 0.954797 -0.382007
0.110943 0.991075 -0.325429
0.119864 1.02296 -0.265543
0.127272 1.04938 -0.202519
0.132847 1.06924 -0.136755
0.136317 1.08161 -0.0689328
0.136533 1.08608 1.14077e-16
0.135372 1.08187 0.0689328
Ascii values of ux, uy and uz follow
0.180182 1.06452 -0.0689484
0.182894 1.06774 5.7926e-17
0.181011 1.0641 0.0689489
0.175516 1.0533 0.136904
0.166839 1.03571 0.202979
0.155617 1.01193 0.266491
0.14261 0.982743 0.326999
0.128616 0.948989 0.384303
0.114372 0.911522 0.438375
0.100485 0.871139 0.489288
0.0873988 0.828559 0.537154
0.0754112 0.7844 0.582102
0.064725 0.739157 0.624264
0.055497 0.693192 0.663778
0.0478637 0.646721 0.700786
0.0419452 0.599822 0.735436
0.0378378 0.552451 0.76789
0.0356071 0.504463 0.798318
0.0352873 0.455638 0.826895
0.0368834 0.405717 0.853776
0.0403709 0.354434 0.879081
0.045695 0.301553 0.902874
0.052769 0.246891 0.925143
0.06148 0.190333 0.945779
0.0716962 0.131839 0.964565
0.0832694 0.0714455 0.981161
0.0960167 0.00926256 0.995107
0.109678 -0.0545328 1.00584
0.123862 -0.119701 1.0127
0.138017 -0.185934 1.01497
0.15144 -0.252825 1.01192
0.163345 -0.319827 1.00288
0.172949 -0.38623 0.987323
0.179565 -0.451176 0.964975
0.182683 -0.513721 0.935857
0.182054 -0.572922 0.900273
0.177728 -0.627929 0.858763
0.170049 -0.678078 0.812045
0.159595 -0.722978 0.760959
0.147095 -0.762537 0.706392
0.133343 -0.796933 0.649205
0.119107 -0.826529 0.590177
0.105043 -0.851775 0.529996
0.091651 -0.873135 0.469257
0.0792711 -0.891044 0.408463
0.0681323 -0.905885 0.348016
0.0584023 -0.917979 0.2882
0.0502231 -0.927579 0.229174
0.043721 -0.934873 0.170972
0.039001 -0.939996 0.11351
0.0361394 -0.943035 0.0566056
0.0351807 -0.944043 -3.03018e-16
0.0361394 -0.943035 -0.0566056
0.039001 -0.939996 -0.11351
0.043721 -0.934873 -0.170972
0.0502231 -0.927579 -0.229174
0.0584023 -0.917979 -0.2882
0.0681323 -0.905885 -0.348016
0.0792711 -0.891044 -0.408463
0.091651 -0.873135 -0.469257
0.105043 -0.851775 -0.529996
0.119107 -0.826529 -0.590177
0.133343 -0.796933 -0.649205
0.147095 -0.762537 -0.706392
0.159595 -0.722978 -0.760959
0.170049 -0.678078 -0.812045
0.177728 -0.627929 -0.858763
0.182054 -0.572922 -0.900273
0.182683 -0.513721 -0.935857
0.179565 -0.451176 -0.964975
0.172949 -0.38623 -0.987323
0.163345 -0.319827 -1.00288
0.15144 -0.252825 -1.01192
0.138017 -0.185934 -1.01497
0.123862 -0.119701 -1.0127
0.109678 -0.0545328 -1.00584
0.0960167 0.00926256 -0.995107
0.0832694 0.0714455 -0.981161
0.0716962 0.131839 -0.964565
0.06148 0.190333 -0.945779
0.052769 0.246891 -0.925143
0.045695 0.301553 -0.902874
0.0403709 0.354434 -0.879081
0.0368834 0.405717 -0.853776
0.0352873 0.455638 -0.826895
0.0356071 0.504463 -0.798318
0.0378378 0.552451 -0.76789
0.0419452 0.599822 -0.735436
0.0478637 0.646721 -0.700786
0.055497 0.693192 -0.663778
0.064725 0.739157 -0.624264
0.0754112 0.7844 -0.582102
0.0873988 0.828559 -0.537154
0.100485 0.871139 -0.489288
0.114372 0.911522 -0.438375
0.128616 0.948989 -0.384303
0.14261 0.982743 -0.326999
0.155617 1.01193 -0.266491
0.166839 1.03571 -0.202979
0.175516 1.0533 -0.136904
0.181011 1.0641 -0.0689489
0.182057 1.06817 5.63867e-17
0.180182 1.06452 0.0689484
Ascii values of ux, uy and uz follow
0.217904 1.04198 -0.0689759
0.220682 1.04444 1.13136e-16
0.218579 1.04151 0.0689765
0.212412 1.03274 0.137166
0.20259 1.01821 0.203822
0.189733 0.998106 0.268284
0.174608 0.9728 0.330036
0.158062 0.942805 0.388734
0.140974 0.908743 0.444216
0.124197 0.871272 0.496467
0.108495 0.831045 0.545566
0.094463 0.788674 0.591629
0.0824801 0.744702 0.634775
0.0727014 0.699576 0.675116
0.0651052 0.65362 0.712769
0.0595621 0.607015 0.747875
0.0559055 0.5598 0.78061
0.0539872 0.511885 0.811174
0.0537162 0.463071 0.839769
0.0550788 0.413094 0.866558
0.0581417 0.361675 0.891641
0.0630374 0.308572 0.915029
0.0699317 0.253621 0.936634
0.0789737 0.196757 0.956263
0.0902291 0.138012 0.973615
0.103608 0.0774924 0.988282
0.11881 0.0153562 0.999759
0.135307 -0.0482047 1.00747
0.152383 -0.112953 1.01082
0.169207 -0.178579 1.00921
0.184903 -0.244667 1.00216
0.198606 -0.310696 0.989305
0.209517 -0.376057 0.970529
0.21696 -0.44009 0.945921
0.220447 -0.502113 0.915747
0.219744 -0.561436 0.880369
0.214899 -0.617378 0.840187
0.206235 -0.6693 0.795628
0.194311 -0.716677 0.74717
0.17985 -0.759168 0.695361
0.163681 -0.796658 0.640811
0.146676 -0.829253 0.584142
0.129705 -0.857228 0.525951
0.113568 -0.880958 0.466779
0.0989265 -0.900854 0.407117
0.0862329 -0.917304 0.347397
0.0757145 -0.930648 0.287982
0.0674013 -0.941167 0.229131
0.0611919 -0.949089 0.170979
0.0569247 -0.9546 0.113518
0.0544406 -0.957845 0.0566067
0.053626 -0.958915 -3.41124e-16
0.0544406 -0.957845 -0.0566067
0.0569247 -0.9546 -0.113518
0.0611919 -0.949089 -0.170979
0.0674013 -0.941167 -0.229131
0.0757145 -0.930648 -0.287982
0.0862329 -0.917304 -0.347397
0.0989265 -0.900854 -0.407117
0.113568 -0.880958 -0.466779
0.129705 -0.857228 -0.525951
0.146676 -0.829253 -0.584142
0.163681 -0.796658 -0.640811
0.17985 -0.759168 -0.695361
0.194311 -0.716677 -0.74717
0.206235 -0.6693 -0.795628
0.214899 -0.617378 -0.840187
0.219744 -0.561436 -0.880369
0.220447 -0.502113 -0.915747
0.21696 -0.44009 -0.945921
0.209517 -0.376057 -0.970529
0.198606 -0.310696 -0.989305
0.184903 -0.244667 -1.00216
0.169207 -0.178579 -1.00921
0.152383 -0.112953 -1.01082
0.135307 -0.0482047 -1.00747
0.11881 0.0153562 -0.999759
0.103608 0.0774924 -0.988282
0.0902291 0.138012 -0.973615
0.0789737 0.196757 -0.956263
0.0699317 0.253621 -0.936634
0.0630374 0.308572 -0.915029
0.0581417 0.361675 -0.891641
0.0550788 0.413094 -0.866558
0.0537162 0.463071 -0.839769
0.0539872 0.511885 -0.811174
0.0559055 0.5598 -0.78061
0.0595621 0.607015 -0.747875
0.0651052 0.65362 -0.712769
0.0727014 0.699576 -0.675116
0.0824801 0.744702 -0.634775
0.094463 0.788674 -0.591629
0.108495 0.831045 -0.545566
0.124197 0.871272 -0.496467
0.140974 0.908743 -0.444216
0.158062 0.942805 -0.388734
0.174608 0.9728 -0.330036
0.189733 0.998106 -0.268284
0.20259 1.01821 -0.203822
0.212412 1.03274 -0.137166
0.218579 1.04151 -0.0689765
0.22001 1.04492 1.2103e-16
0.217904 1.04198 0.0689759
Ascii values of ux, uy and uz follow
0.249028 1.01869 -0.0689924
0.251718 1.02073 2.06415e-16
0.2496 1.01822 0.0689927
0.243367 1.01076 0.137331
0.23337 0.998494 0.204416
0.220165 0.981631 0.269732
0.204477 0.96034 0.332843
0.187146 0.934759 0.393375
0.169073 0.905033 0.450997
0.151144 0.871397 0.505429
0.134152 0.834226 0.556469
0.118723 0.79404 0.60402
0.105273 0.751445 0.648104
0.0940146 0.70705 0.688868
0.0850141 0.661379 0.726559
0.07825 0.614805 0.761491
0.0736693 0.567517 0.794003
0.0712205 0.519529 0.824415
0.0708717 0.470701 0.852986
0.0726182 0.420794 0.879882
0.0764833 0.369516 0.905141
0.0825133 0.316582 0.928648
0.0907635 0.261767 0.950122
0.101271 0.204944 0.969129
0.114005 0.146113 0.985115
0.128811 0.0854114 0.99748
0.145341 0.0230927 1.00565
0.163039 -0.0405149 1.00919
0.181159 -0.105051 1.0078
0.198838 -0.170154 1.00136
0.215172 -0.235467 0.989907
0.229292 -0.300612 0.973491
0.240429 -0.365153 0.952184
0.247967 -0.428571 0.926059
0.251481 -0.49028 0.895251
0.250774 -0.549675 0.859993
0.245885 -0.606194 0.820633
0.23709 -0.659365 0.777598
0.224881 -0.70881 0.731325
0.209932 -0.754225 0.682206
0.19305 -0.795343 0.630563
0.175124 -0.831932 0.576685
0.157053 -0.863832 0.520894
0.139669 -0.891006 0.463585
0.123663 -0.913574 0.405239
0.109519 -0.931813 0.346371
0.0975172 -0.946124 0.287464
0.0877636 -0.956977 0.228896
0.0802593 -0.964841 0.170889
0.074957 -0.970134 0.113493
0.0718023 -0.973176 0.0566043
0.0707555 -0.974168 -3.36199e-16
0.0718023 -0.973176 -0.0566043
0.074957 -0.970134 -0.113493
0.0802593 -0.964841 -0.170889
